City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Aswan,Citymax Hotel Aswan,Lindsey,United Kingdom,4 nights   ,May 2023,Family,Executive Suite,"June 8, 2023",excellent location booked junior suite great views nile spacious room decent restaurant,negative feedback,No Negative Feedback,"Excellent location, we booked the junior suite which had great views over the Nile. 
Very spacious room, decent restaurant.",1,"['booked junior', 'views', 'restaurant', 'nile', 'spacious room decent']",[],"['nile', 'room', 'restaurant']",[]
Luxor,Nefertiti Hotel Luxor,Melania,Romania,2 nights   ,Feb-25,Couple,Double Room,"February 16, 2025",good breakfast clean quiet room air conditioning heating weather cold night luxor helpful staff,negative feedback,No Negative Feedback,"Very good breakfast, clean and quiet room, air conditioning for heating as weather can be cold over the night in Luxor, helpful staff.",1,"['weather cold', 'clean quiet', 'helpful staff', 'luxor', 'good breakfast']",[],"['breakfast', 'clean', 'staff']",[]
Sharm El Sheikh,Reef Oasis Beach Aqua Park Resort,Stanislav,Poland,6 nights   ,November 2024,Family,Deluxe Room With Pool View,"November 13, 2024",everything ok,reconstruction procedures need better next time,"Reconstruction procedures, but it is need for better next time",Everything were ok,-1,[],"['time', 'need', 'better', 'procedures', 'reconstruction procedures']",[],[]
Aswan,Mango Guest House,Graeme,Australia,2 nights   ,April 2024,Solo traveler,Budget Single Room,"April 21, 2024",clean staff helpful friendly nice breakfast plenty cold drinks tea coffee whenever want beautiful gardens alone ihab always happy help book tours cars etc everybody speaks good english big help,nothing,Nothing,"Very clean, all staff were very helpful and friendly. Nice breakfast, plenty of cold drinks and tea/coffee whenever you want. Beautiful gardens to be alone in. Ihab always so happy to help to book tours, cars etc. everybody speaks good English here, big help.",1,"['breakfast plenty cold', 'everybody speaks good', 'gardens', 'help book tours', 'clean staff']",[],"['breakfast', 'clean', 'staff']",[]
Sharm El Sheikh,Grand Oasis Resort,Mehmet,Turkey,6 nights   ,November 2024,Family,Standard Double or Twin Garden View Room,"November 11, 2024",pleasant stay hotel restaurant nice staff pretty friendly especially omar maged restaurant helping us lot needs baby taking care requests thank guys,sometimes hard find place beach area little bit crowded,Sometimes it is hard to find a place in the beach area. It is little bit crowded.,We had a pleasant stay. Hotel and restaurant were nice. Staff were pretty friendly. Especially Omar and Maged in the restaurant were helping us a lot for the needs of our baby. They were taking care of all our requests. Thank you guys.,-1,"['taking care requests', 'maged restaurant', 'thank guys', 'friendly especially omar', 'stay hotel']","['bit', 'hard', 'little', 'crowded', 'beach area']","['hotel', 'restaurant']",['beach']
Aswan,Bob Marley Guest House,Sam,New Zealand,2 nights   ,November 2023,Group,Triple Room with Private External Bathroom,"November 18, 2023",cool building rooftop bar lovely staff attentive friendly,negative feedback,No Negative Feedback,"Very cool building and rooftop bar, lovely staff who were attentive and friendly",1,"['attentive', 'friendly', 'staff', 'bar', 'building rooftop']",[],['staff'],[]
Sharm El Sheikh,Pickalbatros Laguna Vista Aqua Park HRS Inclusive,Mohamed,United Kingdom,9 nights   ,February 2025,Couple,Deluxe Bungalow with Pool View,"February 12, 2025",big clean modern,nothing,Nothing,"Very big, very clean and modern",1,"['clean', 'modern', 'big', 'big clean', 'clean modern']",[],['clean'],[]
Hurghada,Pickalbatros Aqua Blu Resort Hurghada,Hady,United Arab Emirates,3 nights   ,June 2024,Family,Deluxe Triple Room - Aqua Vista Area,"June 17, 2024",grateful,every thing,Every thing,Grateful,-1,[],[],[],[]
Hurghada,Golden Sun Hotel Hurghada,Astrid,Mexico,2 nights   ,January 2025,Solo traveler,Deluxe Queen Room,"January 8, 2025",great location room spacious clean thanks ahmed help stay hotel,breakfast,The breakfast.,"Great location, my room was spacious and clean. Thanks Ahmed for your help during my stay at the hotel.",-1,"['help', 'ahmed', 'location', 'spacious clean thanks', 'stay hotel']",[],"['location', 'hotel', 'clean']",[]
Aswan,BAYT ZAINA Nubian hospitality house,Quentin,Sweden,6 nights   ,February 2024,Family,Double Room with Sea View,"March 15, 2024",foremost location breakfast delicious instant coffee great would nicer coffee machine overall good amazing view staff family welcoming extremely helpful organise activities third parties great stay overall warmly recommend,two small technical details could easy fix automatic door closer room unnecessary annoying please uninstall bathroom door plastic curtain pretty annoying maybe best solution based tight space available,"Only two small technical details for which there could be an easy fix: The automatic door closer for the room. Unnecessary and annoying. Please uninstall it :) 
The bathroom ""door""/plastic curtain is pretty annoying too but maybe best solution based on the tight space available.","Foremost the location, the breakfast was delicious, instant coffee was not great, would be nicer with a coffee machine. overall good with an amazing view. The staff/family was very welcoming and extremely helpful to organise activities with them or with third parties. Great stay overall, warmly recommend.",-1,"['activities parties great', 'staff family', 'coffee machine overall', 'warmly recommend', 'breakfast delicious instant']","['easy fix automatic', 'unnecessary annoying', 'tight space available', 'door closer', 'bathroom']","['breakfast', 'staff']",[]
Luxor,Iberotel Luxor,Sameer,United Kingdom,2 nights   ,Dec-24,Family,Superior Queen or Twin Front Nile View,"January 5, 2025",great location everything horse carriage ride away perfect,smallish rooms dont use house travel agency poor,"Smallish rooms
and dont use the in house travel agency - poor!",Great location and everything is a horse carriage ride away - perfect.,-1,"['perfect', 'location', 'away', 'horse', 'carriage ride']","['dont', 'agency poor', 'smallish', 'travel', 'rooms']",['location'],[]
Luxor,Nefertiti Hotel Luxor,Rogan,United Kingdom,2 nights   ,Feb-25,Solo traveler,Twin Room,"February 18, 2025",hotel situated great location right next luxor temple staff extremely friendly restaurant rooftop outstanding views also offer various tours reasonable amount managed book hot air balloon trip one highlights trip,negative feedback,No Negative Feedback,"The hotel is situated in a great location right next to Luxor Temple and the staff were extremely friendly. There is a restaurant on the rooftop with outstanding views. They also offer various tours for a reasonable amount, I managed to book a hot air balloon trip which was one of the highlights of my trip.",1,"['balloon trip highlights', 'rooftop outstanding', 'staff extremely friendly', 'various tours reasonable', 'right luxor temple']",[],['staff'],[]
Aswan,BAYT ZAINA Nubian hospitality house,Eva,Germany,1 night   ,November 2023,Couple,Double Room with Sea View,"November 17, 2023",stayed twice first stay night arriving cairo next day went abu simbel stay overnight worth much quieter experience temple airport pickup reliable host provided us lot interesting insights aswan private boat took us around beautiful southern bend like mini nile cruise breakfast rooftop freshly preparered delicious plentiful first night stayed small room indeed small functional hot water ac perfectly quiet view western side nile opinion side want,internet slightly slow instances manageable maybe plan lengthy work calls,"The internet is slightly slow at instances, but it was manageable. Maybe don't plan on lengthy work calls.","We stayed here twice. This was our first stay for a night after arriving from Cairo. The next day we went to Abu Simbel to stay overnight (worth it for a much quieter experience of the temple). The airport pickup was reliable and our host provided us with a lot of interesting insights to Aswan. The private boat took us around the beautiful Southern bend and was like a mini Nile cruise. The breakfast on the rooftop is freshly preparered, delicious, and plentiful. This first night we stayed in the small room. While indeed small, it was functional, had hot water, and AC. Perfectly quiet with a view over the Western side of the Nile. In my opinion, this is the side you want to be on.",-1,"['breakfast rooftop', 'arriving cairo day', 'worth quieter experience', 'stayed twice', 'aswan private boat']","['instances', 'maybe don', 'plan lengthy', 'work calls', 'internet slightly slow']",['breakfast'],[]
Luxor,Aracan Eatabe Luxor Hotel,H,United Kingdom,2 nights   ,Jan-25,Couple,Standard Double Room,"February 3, 2025",great location great view river nile breakfast okay could options especially meat options site seeing king valley entire day overall lovely stay appreciate free upgrade room view,negative feedback,No Negative Feedback,Great location and great view of River Nile. Breakfast was okay but could have more options (especially meat options for those that will be site-seeing in the King Valley for the entire day). Overall lovely stay and appreciate the free upgrade to room with a view.,1,"['upgrade room', 'meat options site', 'king valley entire', 'day overall lovely', 'river nile']",[],"['nile', 'room']",[]
Aswan,Philae Hotel Aswan,Gail,New Zealand,1 night   ,May 2023,Couple,Deluxe Double or Twin Room with City View,"May 12, 2023",location across road cruise ships market road behind hotel nice breakfast wifi reception good,lift stairs staff helpful taking bags,"No lift, stairs. Staff very helpful taking bags up","Location was across the road from the cruise ships, market on road behind the hotel. Nice breakfast. Wifi only at reception, but good.",-1,"['nice', 'wifi', 'cruise ships market', 'location road', 'breakfast']","['taking', 'lift', 'staff helpful', 'bags', 'stairs']","['location', 'breakfast']",['staff']
